roundID,01KCQ0VNHJNDD1DM332PQS33ER,01KCQ0SQPT90ZRPBZRC76QVSZN,01KCQ0VS2FQM44KAX4VK9ZT7HJ,01KCQ0ZEW9S1JHKNF7B6DNMFK3,01KCQ0XAFJYC8BQFAYEW0APHVD,01KCQ0V3MC3YSJT2RSTCWJA9X0,01KCQ0TX8GAA6G0Z23ZBHQ4FHR,01KCQ0T9WP9Z5RDG9P0GG8PHGP,01KCQ0SJXZH7J91G11Z6GPS08P,01KCQ0TGQP6RBAVEYJGP0ZTGMR
01KCQ112NCF6D3SB4YV2PPXW7E,,,,,,,,,,
01KCQ112P15KS5ZVZXJHTQDG1N,University of Southampton,The University of Western Australia,University of Sheffield,Karlsruhe Institute of Technology,,University of Leeds,University of Adelaide,University of Glasgow,Trinity College Dublin,Heidelberg University
01KCQ112P0WC89CSPW91TSG7NX,University of Southampton,University of Adelaide,University of Adelaide,University of Glasgow,,University of Southampton,University of Nottingham,University of Adelaide,University of Sheffield,University of Adelaide
01KCQ112P269Q99NQRZP0PTM7J,University of Adelaide,University of Adelaide,University of Nottingham,University of Adelaide,University of Adelaide,University of Adelaide,University of Adelaide,University of Adelaide,Heidelberg University,University of Adelaide
01KCQ112P269Q99NQS09DXVSVS,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,,University of Nottingham,University of Nottingham,University of Nottingham,University of Adelaide,University of Nottingham
01KCQ112P269Q99NQS0X8EBJD2,University of Nottingham,University of Nottingham,University of Adelaide,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Adelaide,University of Nottingham
01KCQ112P0WC89CSPW9GXJ050X,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham
01KCQ112P3B6NDDDED1443NHY5,University of Nottingham,University of Nottingham,University of Leeds,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham
01KCQ112P4TT0TRNJDJRN9DS3B,University of Nottingham,University of Leeds,University of Leeds,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham
01KCQ112P4TT0TRNJDKCQB34DZ,University of Nottingham,University of Leeds,University of Leeds,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Leeds,University of Nottingham,University of Adelaide
01KCQ112P50XJR6JEH2ABEVQPX,University of Leeds,University of Leeds,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Leeds,University of Nottingham,University of Nottingham
